,year,combinedStatus,fullName,sortName,primaryNationality,secondaryNationality,tertiaryNationality,gender,photoUrl,photoCredit,type,lastStatus,typeOfDeath,status,employedAs,organizations,jobs,coverage,mediums,country,location,region,state,locality,province,localOrForeign,sourcesOfFire,motiveConfirmed,accountabilityCrossfire,accountabilityAssignment,impunityMurder,tortured,captive,threatened,charges,motive,lengthOfSentence,healthProblems,impCountry,entry,sentenceDate,sentence,locationImprisoned,date_with_day,desc
10,1995,Confirmed,Abdelhamid Yahiaoui,,Algeria,,,Male,,,Journalist,,Murder,Killed,Staff,El-Chaab,Editor,War,Print,Algeria,"Baraki, Algiers",,,"Baraki, Algiers",,Local,,Confirmed,,,Complete Impunity,No,Yes,No,,,,,,,,,,"January 12, 1995","Yahiaoui, a copy editor for the government-controlled Arabic daily El-Chaab, was abducted as he left his home in Baraki, on the outskirts of Algiers, on his way to meet a friend. The next day, his body was found about 100 meters (330 feet) from his house with two bullet wounds to the head."
11,1994,Confirmed,Abdelkader Hireche,,,,,Male,,,Journalist,,Murder,Killed,Staff,Algerian Television (ENTV),Broadcast Reporter,Politics,Television,Algeria,Algiers,,,Algiers,,Foreign,,Confirmed,,,Partial Impunity,No,No,No,,,,,,,,,,"February 28, 1994","Hireche, a journalist with Algerian Television (ENTV), was shot and killed in an eastern suburb of Algiers by three men bearing automatic weapons."
12,2016,Confirmed,Abdelqadir Fassouk,,Libya,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/Abdelqadir-Fassouk250.jpg,Courtesy Arraed TV,Journalist,,Crossfire,Killed,Staff,Arraed Satellite TV,"Camera Operator,Photographer",War,"Print,Television",Libya,Sirte,,,Sirte,,Local,Political Group,Confirmed,,,,,,,,,,,,,,,,"July 21, 2016","Arraed television correspondent and Libyan photojournalist Abdelqadir Fassouk was fatally shot on July 21, 2016, while covering a battle between government-allied forces and the Islamic State militant group, in the Ouagadougou neighborhood of the outskirts of the coastal city of Sirte, Arraed reported. Fayez Swiry, a supervising news editor with Arraed channel, a satellite news channel based in Istanbul, told the Committee to Protect Journalists that Fassouk was on an assignment with the station, covering fighting between forces loyal to Libya’s unity government and the Islamic State group when he was shot. He added that medical staff who saw Fassouk’s body and Brazilian photojournalist Andre Liohn, who was with Fassouk at the time of his death, told the station that Fassouk had been shot by a sniper."
13,1993,Confirmed,Abderrahmane Chergou,,Algeria,,,Male,,,Journalist,,Murder,Killed,Freelance,Freelance,Print Reporter,Politics,Print,Algeria,Algiers,,,Algiers,,Local,,Confirmed,,,Complete Impunity,No,No,No,,,,,,,,,,"September 28, 1993","Chergou, a freelance journalist and official of the leftist PAGS party, was stabbed to death outside his home in the Algiers suburb of Mohammedia."
14,2016,Confirmed,Abdiaziz Ali,,Somalia,,,Male,,,Journalist,,Murder,Killed,Staff,Radio Shabelle,Broadcast Reporter,"Corruption,Human Rights,War",Radio,Somalia,Mogadishu,,,Mogadishu,,Local,Political Group,Confirmed,,,Complete Impunity,No,No,No,,,,,,,,,,"September 27, 2016","Abdiaziz Ali, a journalist for the Somali station Radio Shabelle, was walking home at around 6:10 p.m. on September 27, 2016, after visiting his parents in the Yaqshid district of Mogadishu, when two men on motorbikes pulled over and shot him several times, killing him, the BBC reported."
15,2013,Confirmed,Abdihared Osman Aden,,Somalia,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/Abdihared%252520Osman%252520Adan%252520%252528Shabelle%252529croppedcap.jpg,,Journalist,,Murder,Killed,Freelance,Shabelle Media Network,Producer,"Culture,Politics","Radio,Television",Somalia,Mogadishu,,,Mogadishu,,Local,,Confirmed,,,Complete Impunity,No,No,No,,,,,,,,,,"January 18, 2013","Unidentified gunmen shotAbdihared, a producer for the Shabelle MediaNetwork, at around 7 a.m. while he was walking to work in the Wadajir districtof Mogadishu, according to local journalists and newsreports. The journalist, who was shot at least three times, died at a localhospital, the sources said. Shabelle released a statement after theattack, calling Abdihared a veteran TV and radio producer and “outstandingcolleague.” Abdihared was the fifth Shabelle journalist to be killed in 13months. In November 2012, SomaliPresident Hassan Sheikh Mohamoud said he would be setting up a taskforce to investigate the cases of journalist murders in the country. Newsreports quoted the president as saying, “The era of impunity must stopimmediately.” But the president had not followed through on the pledge by January 2013, according to local journalists. Abdihared, 45, wassurvived by his wife and two children."
16,2019,Confirmed,Abdinasir Abdulle Ga’al,,Somalia,,,Male,https://cpj-photos.s3.us-west-2.amazonaws.com/prod/somalia_abdinasir.jpg_7d835bb3-2dda-4a28-a601-ffe234e00e44.jpeg,Somali National Army Radio,Journalist,Killed,Dangerous Assignment,Killed,Staff,Somali National Army Radio,"Broadcast Reporter,Camera Operator",War,"Radio,Internet",Somalia,Awdheegle,,,Awdheegle,,Local,Political Group,Confirmed,,No,,,,,,,,,,,,,,"August 14, 2019","Abdinasir Abdulle Ga’al, a camera operator with the military-owned Somali National Army Radio, was killed on August 14, 2019, in a car bomb attack by members of the Al-Shabaab militant group against an army base in Awdheegle, southern Somalia, where he was reporting, according to news reports and the station’s director, Mohamed Muse, who spoke to CPJ via messaging application."
17,2012,Confirmed,Abdirahman Yasin Ali,,Somalia,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/Killed.abdirahman.Yasin%252528SOMJA%252529.jpg,,Journalist,,Murder,Killed,Staff,Radio Hamar,Editor,"Culture,Human Rights,Politics",Radio,Somalia,Mogadishu,,,Mogadishu,,Local,Political Group,Confirmed,,,Complete Impunity,No,No,No,,,,,,,,,,"September 20, 2012","Abdirahman, director of Radio Hamar, was among threejournalists killed in a suicide bomb attack in a Mogadishu café, according tonews reports and local journalists."
18,2009,Confirmed,Abdirisak Mohamed Warsame,,Somalia,,,Male,,,Journalist,,Crossfire,Killed,Staff,Radio Shabelle,Producer,"Politics,War",Radio,Somalia,Mogadishu,,,Mogadishu,,Local,,Confirmed,,,,,,,,,,,,,,,,"May 22, 2009","Warsame, 24, was shot in crossfire between Transitional Federal Governmentforces and hard-line Islamic insurgents in the capital as he was walking to RadioShabelle for his morning broadcast, local journalists told CPJ. According to local journalists, the fighting was so intense that no one could attendto Warsame for more than half an hour. The reporter, described as a“workaholic” by colleagues, was survived by his wife of six months."
19,2014,Confirmed,Abdirizak Ali Abdi,,Somalia,,,Male,,,Journalist,,Murder,Killed,Staff,"Radio Daljir,Horn Cable TV",Broadcast Reporter,Politics,"Radio,Television",Somalia,"Galkayo, Puntland",,,"Galkayo, Puntland",,Local,Political Group,Confirmed,,,Partial Impunity,No,No,No,,,,,,,,,,"November 16, 2014","Two unidentified hooded gunmen shot Abdirisak Ali Abdi in the head and chest while he was sitting in a restaurant in Galkayo, a town in the semi-autonomous Somali region of Puntland, on November 16, 2014, according to news reports and Mohamed Abdulahi, director of Dadio Dajir, where Abdirisak worked, who spoke to CPJ."
20,2011,Confirmed,Abdisalan Sheikh Hassan,,Somalia,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/Abdisalan1%252520%252528Horncable%252520TV%252529.jpg,HornCable TV,Journalist,,Murder,Killed,Freelance,Freelance,Broadcast Reporter,"Human Rights,Politics","Radio,Television",Somalia,Mogadishu,,,Mogadishu,,Local,"Government Officials, Military Officials",Confirmed,,,Complete Impunity,No,No,Yes,,,,,,,,,,"December 18, 2011","A gunman wearing a military uniform shot Hassan, 38, afreelance broadcast journalist, according to news accounts and CPJ interviews."
21,2012,Confirmed,Abdisatar Daher Sabriye,,Somalia,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/killed.Abdisatar%252520Daher%252520Sabriye%252520%252528SOMJA%252529.jpg,,Journalist,,Murder,Killed,Staff,Radio Mogadishu,Editor,"Culture,Human Rights,Politics",Radio,Somalia,Mogadishu,,,Mogadishu,,Local,Political Group,Confirmed,,,Complete Impunity,No,No,No,,,,,,,,,,"September 20, 2012","Abdisatar, head of news for Radio Mogadishu, was among threejournalists killed in a suicide bomb attack in a Mogadishu café, according tonews reports and local journalists."
22,2020,Confirmed,Abdiwali Ali Hassan,,Somalia,,,Male,,,Journalist,Killed,Murder,Killed,Freelance,"Freelance; Universal TV,  Radio Kulmiye","Broadcast Reporter,Camera Operator,Photographer","Human Rights,Politics,War","Radio,Television",Somalia,Afgooye,,,Afgooye,,Local,Political Group,Confirmed,,,Complete Impunity,No,No,Yes,,,,,,,,,,"February 16, 2020","Somali broadcast journalist Abdiwali Ali Hassan was shot several times near his home in the town of Afgooye, about 19 miles outside Somalia’s capital, Mogadishu, on February 16, 2020, and died on his way to the hospital, according to statements by three local media organizations, his colleagues, and news reports."
23,2008,Confirmed,Abdul Aziz Shaheen,,Pakistan,,,Male,,,Journalist,,Crossfire,Killed,Staff,Azadi,Print Reporter,"Politics,War",Print,Pakistan,Swat,,,Swat,,Local,Military Officials,Confirmed,,,,,,,,,,,,,,,,"August 29, 2008","A Pakistani airstrike hit the lockup where Shaheen was beingheld by a local Taliban group in the Swat Valley, according to local newsreports citing a Taliban spokesman. The spokesman, Muslim Khan, said Shaheenwas among at least 25 people killed in the strike, according to the Daily Timesnewspaper. The precise location of the Taliban hideout was not reported."
24,2017,Confirmed,Abdul Hakim Shimul,,Bangladesh,,,Male,,,Journalist,Killed,Dangerous Assignment,Killed,Staff,Samakal,Print Reporter,Politics,Print,Bangladesh,Shahjadpur,,,Shahjadpur,,Local,Government Officials,Confirmed,,,Complete Impunity,,,,,,,,,,,,,"February 3, 2017","Abdul Hakim Shimul, a reporter for the Bangladeshi national daily Samakal newspaper, died on February 3, 2017, from gunshot wounds sustained while covering political unrest in the northern Bangladeshi city of Shahjadpur the previous day. He was 42."
25,2019,Confirmed,Abdul Hameed al-Yousef,,Syria,,,Male,https://cpj-photos.s3.us-west-2.amazonaws.com/prod/syria_al_yousef_rs.jpg_0c58a981-3659-44fd-8eef-7b54ec461541.jpeg,Kafr Rumah Media Office,Journalist,Killed,Crossfire,Killed,Staff,Kafr Rumah Media Office,"Photographer,Camera Operator","Human Rights,War,Politics,Sports",Internet,Syria,Kafr Rumah,,,Kafr Rumah,Idlib Governorate,Local,Military Officials,Confirmed,No,,,,,,,,,,,,,,,"November 10, 2019","Abdul Hameed al-Yousef, a Syrian photographer and camera operator for the pro-civil rights opposition Kafr Rumah Media Office, was killed on November 10, 2019, when forces supporting President Bashar al-Assad shelled Kafr Rumah, a town in Idlib governorate, according to Facebook posts by al-Yousef’s employer, the local press freedom group the Syrian Journalists’ Association, and Faiz al-Doghaim, a Syrian journalist, who spoke with CPJ via messaging app."
26,2012,Confirmed,Abdul Haq Baloch,,Pakistan,,,Male,,,Journalist,,Murder,Killed,Staff,ARY Television,Broadcast Reporter,"Crime,Politics,War",Television,Pakistan,Khuzdar,,,Khuzdar,,Local,Political Group,Confirmed,,,Complete Impunity,No,No,Yes,,,,,,,,,,"September 29, 2012","Unidentified assailants shot Haq as he was leaving the KhuzdarPress Club in the city of Khuzdar in Baluchistan province. Haq was thesecretary-general of the press club and a longtime local correspondent for ARYTelevision. ARY Television said it was not aware of any threats directedat Haq. But Hamid Mir, a prominent Pakistani journalist, wrote after Haq’sdeath that the journalist had been threatened by the Baluch Musalah Diffa Army(BMDA, or the Armed Baluch Defense) in November 2011 and had subsequently beennamed on a hit list issued by a BMDA spokesman."
27,2018,Confirmed,Abdul Manan Arghand,,Afghanistan,,,Male,,,Journalist,Killed,Murder,Killed,Staff,Kabul News,Broadcast Reporter,"Politics,War",Television,Afghanistan,Kandahar,,,Kandahar,,Local,Political Group,Confirmed,,,Complete Impunity,No,No,Yes,,,,,,,,,,"April 25, 2018","Abdul Manan Arghand, a reporter with the privately owned Kabul News television channel, was shot and killed by two unknown gunmen at approximately 9 a.m. on April 25, 2018, while driving to work in Kandahar, Afghanistan, according to RFE/RL and TOLO News."
28,2020,Confirmed,Abdul Nasser Haj Hamdan,,Syria,,,Male,https://cpj-photos.s3.us-west-2.amazonaws.com/prod/Abdul_Nasser_Haj_Hamdan-02-26-2020_rs.JPG_ae28ffaf-575f-4fa5-851c-7942b8d5873d.jpeg,Media Office in Binnish,Journalist,Killed,Crossfire,Killed,Staff,Media Office in Binnish,"Camera Operator,Photographer","Human Rights,Politics,War",Internet,Syria,Ma’arat al-Nasaan,,,Ma’arat al-Nasaan,Idlib,Local,Military Officials,Confirmed,No,,,,,,,,,,,,,,,"February 20, 2020","On February 20, 2020, a Russian airstrike on the northern Syrian city of Ma’arat al-Naasan killed Abdul Nasser Haj Hamdan, a photographer working for the Media Office in Binnish, a pro-civil rights opposition outlet, according to news reports and a Facebook post by his employer."
29,2012,Confirmed,Abdul Qadir Hajizai,,Pakistan,,,Male,,,Journalist,,Murder,Killed,Freelance,WASH TV,Broadcast Reporter,"Politics,War",Television,Pakistan,Quetta,,,Quetta,,Local,Political Group,Confirmed,,,Complete Impunity,No,No,No,,,,,,,,,,"May 28, 2012","Armed men shot Hajizai, a headmaster of a middle school whoalso worked at WASH TV, a private Baluchi-language TV channel, according tolocal news reports. The journalist was taken to a hospital, where he died, thereports said."
30,2006,Confirmed,Abdul Qodus,,Afghanistan,,,Male,,,Journalist,,Dangerous Assignment,Killed,Staff,Aryana TV,Camera Operator,War,Television,Afghanistan,Kandahar,,,Kandahar,,Local,Political Group,Confirmed,,,,,,,,,,,,,,,,"July 22, 2006","Qodus, a cameraman for the private station, was killed in a doublesuicide bombing in the city of Kandahar. He had arrived at the scene ofa suicide car bomb when a second attacker with explosives strapped tohis body blew himself up, according to the Kabul-based Committee toProtect Afghan Journalists (CPAJ) and news reports. Qodus died of headinjuries at a local hospital."
31,2013,Confirmed,Abdul Raheem Kour Hassan,,Syria,,,Male,,,Journalist,,Dangerous Assignment,Killed,Staff,Watan FM,"Broadcast Reporter,Photographer,Publisher/Owner","Human Rights,Politics,War","Radio,Internet",Syria,Damascus,,,Damascus,,Local,Government Officials,Confirmed,,,,,,,,,,,,,,,,Unknown in 2013,"The Syrian government on April 1, 2013, informed Hassan’s family abouthis death, but did not offer details on the circumstances or exact date of hisdeath. The journalist had been arrested in January in Damascus, according tothe local opposition station Watan FM."
32,2018,Confirmed,Abdul Rahman Ismael Yassin,,Syria,,,Male,,,Journalist,Killed,Crossfire,Killed,Staff,Hammouriyeh Media Office,"Photographer,Internet Reporter",War,Internet,Syria,Hammouriyeh,,,Hammouriyeh,eastern Ghouta,Local,Military Officials,Confirmed,No,,,,,,,,,,,,,,,"February 20, 2018","Abdul Rahman Ismael Yassin, a reporter for the pro-opposition Hammouriyeh Media Office, died from injuries sustained in an airstrike on February 20, 2018, in the rebel-held eastern Ghouta area outside of Damascus, according to his employer and the Syrian Journalists Association."
33,2008,Confirmed,Abdul Razzak Johra,,Pakistan,,,Male,,,Journalist,,Murder,Killed,Staff,Royal TV,Broadcast Reporter,Crime,Television,Pakistan,Punjab,,,Punjab,,Local,Criminal Group,Confirmed,,,Complete Impunity,No,No,No,,,,,,,,,,"November 3, 2008","Six armed men dragged reporter Johra from his home in theMianwali district of Punjab and shot him, according to the Pakistan FederalUnion of Journalists. The attack came a day after his report on local drugtrafficking was aired nationally. Colleagues said Johra, 45, who had done earlier reports onthe drug trade, had received threats telling him to stop covering the issue."
34,2016,Confirmed,Abdul Salam Kanaan,,Syria,,,Male,,,Journalist,,Crossfire,Killed,Staff,Al-Jisr TV,Broadcast Reporter,War,Television,Syria,Zafraneh,,,Zafraneh,,Local,Military Officials,Confirmed,,,,,,,,,,,,,,,,"October 31, 2016","Abdul Salam Kanaan, a photographer for the Syrian satellite channel Al-Jisr TV, was killed on October 31, 2016, while recording video of Syrian military airstrikes on the village of Zafraneh, north of Homs, the channel and the local press freedom group the Syrian Center for Journalistic Freedoms (SCJF) reported."
35,2008,Confirmed,Abdul Samad Rohani,,Afghanistan,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/rohani_afghanistan_2008.jpg,,Journalist,,Murder,Killed,Staff,BBC and Pajhwok Afghan News,"Broadcast Reporter,Print Reporter",Crime,"Print,Radio",Afghanistan,Lashkar Gah,,,Lashkar Gah,,Local,Criminal Group,Confirmed,,,Complete Impunity,No,No,No,,,,,,,,,,"June 7 or 8, 2008","Rohani disappeared on the evening of June 7. His body was found with multiplebullet wounds the next day in a cemetery near Lashkar Gah, capital of Helmandprovince, according to local and international news reports. Rohani was theHelmand reporter for BBC’s Pashto service and contributed to the Pajhwok AfghanNews agency, the country’s largest independent news service. A native of Helmand, Rohani had distinguished himself as awell-connected and eloquent reporter, according to colleagues. Rohani, 25, theoldest son in a family of seven children, was married with two children."
36,1994,Confirmed,Abdul Shariff,,South Africa,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/Shariff.SouthAfrica.1994.2.jpg,AP,Journalist,,Crossfire,Killed,Freelance,freelance,Photographer,"Human Rights,Politics",Print,South Africa,Katlehong Township,,,Katlehong Township,,Local,Paramilitary Group,Confirmed,,,,,,,,,,,,,,,,"January 9, 1994","Shariff, a freelance photographer on assignment for the Associated Press, was killed in cross fire while covering an African National Congress tour in the township of Katlehong. He died of a bullet wound to the chest"
37,2010,Confirmed,Abdul Wahab,,Pakistan,,,Male,,,Journalist,,Dangerous Assignment,Killed,Staff,Express News,"Broadcast Reporter,Camera Operator","Politics,War",Television,Pakistan,Ghalanai,,,Ghalanai,,Local,Political Group,Confirmed,,,,,,,,,,,,,,,,"December 6, 2010","Abdul Wahab, a reporter for Express News, and Pervez Khan, aWaqt TV journalist, were among 50 people killed in a double-suicide bomb attackin the Mohmand tribal district, according to international news reports. The journalists were covering a meeting of tribal leadersand government officials in Ghalanai, the administrative center of the region,when two suicide bombers wearing police uniforms detonated explosives. Newsreports said the meeting was called to discuss the formation of an anti-Talibanmilitia. Agence France-Presse said a Pakistani Taliban group took credit forthe attack, which injured more than 100 people."
38,2006,Confirmed,Abdul-Rahim Nasrallah al-Shimari,,Iraq,,,Male,,,Journalist,,Murder,Killed,Staff,Al-Shaabiya,Producer,"Human Rights,Politics,War",Television,Iraq,Baghdad,,,Baghdad,,Local,Political Group,Confirmed,,,Complete Impunity,No,No,No,,,,,,,,,,"October 12, 2006","Masked gunmen in at least five vehicles drove up to the fledgling satellite TV channel Al-Shaabiya in the eastern district of Zayouna around 7 a.m., burst into the offices, executed 11 people, and wounded two others. It was the deadliest single assault on the press in Iraq since the U.S.-led invasion in March 2003. Five of the victims were journalists: Hussein Ali, Abdul-Rahim Nasrallah al-Shimari, Noufel al-Shimari, Thaker al-Shouwili, and Ahmad Sha’ban."
39,1999,Confirmed,Abdulai Jumah Jalloh,,Sierra Leone,,,Male,,,Journalist,,Murder,Killed,Staff,African Champion,Editor,War,Print,Sierra Leone,Freetown,,,Freetown,,Local,Military Officials,Confirmed,,,Complete Impunity,No,No,No,,,,,,,,,,"February 3, 1999","Jalloh, news editor of the independent newspaper African Champion, was killed by a West African peacekeeping force (ECOMOG) soldier in central Freetown, according to local journalists. Jalloh and the newspaper’s editor, Mohammed D. Koroma, were on their way to a printing company near the state house when a passerby claimed-in the presence of ECOMOG soldiers-that Jalloh was a Revolutionary United Front (RUF) rebel and accused him of arson. Jalloh denied the charge, as did Koroma, who told the ECOMOG soldiers that RUF rebels had burned Jalloh’s house."
40,2014,Confirmed,Abdulkadir Ahmed,,Somalia,,,Male,,,Journalist,,Murder,Killed,Freelance,Freelance,Broadcast Reporter,Politics,"Radio,Television",Somalia,Baidoa,,,Baidoa,,Local,Political Group,Confirmed,,,Complete Impunity,No,No,No,,,,,,,,,,"December 5, 2014","Abdulkadir, a freelance journalist, was killed when a suicide bomber drove a car containing explosives into a restaurant in the south central Somali town of Baidoa, according to reports. The restaurant was routinely frequented by local officials and journalists, according to news reports and local journalists."
41,2007,Confirmed,Abdulkadir Mahad Moallim Kaskey,,Somalia,,,Male,,,Journalist,,Crossfire,Killed,Freelance,Radio Banadir,Broadcast Reporter,Politics,Radio,Somalia,Bardera,,,Bardera,,Local,Political Group,Confirmed,,,,,,,,,,,,,,,,"August 24, 2007","Kaskey, a correspondent for private Radio Banadir, was shot in the southwestern city of Bardera while returning from a journalism training workshop in Mogadishu, according to the National Union of Somali Journalists and local journalist Mohamed Gaarane."
42,2009,Confirmed,Abdulkhafar Abdulkadir,,Somalia,,,Male,,,Journalist,,Crossfire,Killed,Freelance,freelance,Photographer,"Culture,War",Print,Somalia,Mogadishu,,,Mogadishu,,Local,Political Group,Confirmed,,,,,,,,,,,,,,,,"December 3, 2009","Three journalists were killed in a suicide bomb attack at a Benadir Universitygraduation ceremony in the capital, Mogadishu."
43,2018,Confirmed,Abdullah al-Qadry,,Yemen,,,Male,,,Journalist,Killed,Crossfire,Killed,Staff,Belqees TV,"Camera Operator,Photographer",War,Television,Yemen,Qaniyah,,,Qaniyah,Bayda,Local,Political Group,Confirmed,No,,,,,,,,,,,,,,,"April 13, 2018","Abdullah al-Qadry, a photographer and camera operator for the privately owned station Belqees TV, died from injuries sustained during a missile attack while covering clashes between government forces and the Ansar Allah movement, commonly known as the Houthis, in Yemen’s Bayda province, according to news reports."
